Term,Mean_TFIDF
dokter,0.1402047410827592
tirta,0.07056069276288272
dokter tirta,0.06397277587857372
banget,0.06107393551828761
yg,0.041578313660076284
saya,0.04093619926494047
nya,0.03412423499107222
lagi,0.033324815778214466
gia,0.03277188873174112
sama,0.032411935365255794
dokter gia,0.03169555998203311
kalau,0.03148585985285434
ngakak,0.02959405705203111
tapi,0.026616495082812528
aku,0.02600001561872213
abang,0.025300580883213637
orang,0.023630889731196834
jadi,0.02093373408905593
benar,0.02091361741173631
iya,0.01904817841189721
nonton,0.019038360232362876
lucu,0.018385667743102727
podcast,0.017835311207157978
apa,0.016262670407364507
radit,0.015662568583811168
up,0.01508888373278713
sih,0.01502552461213402
karena,0.014986262914595707
dia,0.01445607623848383
keren,0.013511252808681895
lebih,0.01325858087845887
kak,0.013139064152156469
kasih,0.01297144281885617
mau,0.012440964162712292
anak,0.012396312065690003
baru,0.012171577621163814
tidak,0.012145427586862441
seru,0.011983850074659139
pas,0.011946228365197258
buat,0.011811507392088649
kita,0.010981309871074834
suka,0.010951958341162575
semua,0.010428156048267365
semoga,0.010352022154689234
sehat,0.010022731695205548
kamu,0.009893699930747485
allah,0.009264316630028895
mereka,0.009164660011523317
selalu,0.00893053880643424
baik,0.008085573613119604
