Teks Asli (Sebelum Preprocessing),Teks Bersih (Sesudah Preprocessing & Normalisasi Slang/Negasi)
Bhaaaaap MANTAP,bhap bagus
Info loker gus😂,info loker gus
bene,bene
Aamiin,aamiin
setujuu bgttt,setujuu banget
"yang diceritakan Dr Tirta tentang toleransi di Baturan memang bener banget dan saya jg turut merasakannya semasa kuliah, 5 tahun (awal 2016-2021) ngekos di daerah Baturan bareng temen gw jg chindo tp sama sekali ga pernah mengalami diskriminasi. pernah diceritain sama nenek (ibu dari yg punya kos) selama kerusuhan 98 daerah Baturan salah satu kelurahan yg paling aman dari rasisme padahal hampir se-solo raya rusuh banget tp Baturan salah satu tempat yg paling aman, ditambah lagi banyak pemuka agama ya makin terlindungi. makanya banyak chindo dari pasar gede maupun gladak larinya ke Baturan",diceritakan dokter tirta tentang toleransi baturan memang benar banget saya turut merasakannya semasa kuliah tahun awal ngekos daerah baturan bareng temen saya chindo tapi sama sekali tidak_pernah mengalami diskriminasi pernah diceritain sama nenek ibu yg punya kos selama kerusuhan daerah baturan salah satu kelurahan yg paling aman rasisme padahal hampir se solo raya rusuh banget tapi baturan salah satu tempat yg paling aman ditambah lagi pemuka agama makin terlindungi makanya chindo pasar gede maupun gladak larinya baturan
KURANG AJAR LUCU WKWKWKWK,kurang_ajar lucu wkwkwkwk
Dr. Tirta bukan sihhh?? Kok kalem ☺☺,dokter tirta bukan_sih kalem
"Keren dok, scr tidak langsung memang mau orang terdekat dari yg diajak ngobrol dan yg menonton supaya hidup sehat.
Di update dong dok yg terdekat nya sudah ada perubahan atau belum 🙏",keren dokter scr tidak_langsung memang mau orang terdekat yg diajak ngobrol yg menonton supaya hidup sehat update dokter yg terdekat nya perubahan belum
Valid,valid
